Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2
Johnny Walker,Zhang Mingyang,1,0,50,20,0,0,0,0,Light Heavyweight,KO/TKO Punches,2,2:37,754968e325d6f60d,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head On Ground,50 of 67,20 of 47,0.74,0.42,0,0,0,0,80,81,0.73,0.23,0.2,1.0,1.0,1.0,0.58,0.38,0.5,0.67,0.89,0.5,0.73,0.47
Aljamain Sterling,Brian Ortega,0,0,124,55,3,0,0,0,Catch Weight,U-DEC,5,5:00,754968e325d6f60d,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge45 - 50.David Lethaby45 - 50.Vito Paolillo45 - 50.,55 of 174,124 of 227,0.31,0.54,0,0,0,0,8,235,0.22,0.44,0.69,0.81,0.71,1.0,0.31,0.51,0,1.0,1.0,0.77,0.44,0.58
Sergei Pavlovich,Waldo Cortes-Acosta,0,0,61,45,0,0,0,0,Heavyweight,U-DEC,3,5:00,754968e325d6f60d,W,L,3 Rnd (5-5-5),Marc Goddard,Evan Field27 - 30.Mark Christie28 - 29.Clemens Werner28 - 29.,61 of 133,45 of 117,0.45,0.38,0,0,0,0,8,0,0.34,0.31,0.86,0.4,0.93,0.74,0.46,0.39,0.5,0.0,0,0,0.46,0.38
Sumudaerji,Kevin Borjas,0,0,73,16,0,0,0,0,Flyweight,U-DEC,3,5:00,754968e325d6f60d,W,L,3 Rnd (5-5-5),Vitor Ribeiro,Ben Cartlidge27 - 30.Mark Christie27 - 30.Dave Tirelli27 - 30.,73 of 129,16 of 44,0.56,0.36,0,0,0,0,17,209,0.44,0.23,0.68,0.71,0.79,0.57,0.55,0.27,0.75,0.86,0,0,0.61,0.45
Taiyilake Nueraji,Kiefer Crosbie,0,0,27,2,1,0,0,0,Welterweight,KO/TKO Elbows,1,3:33,754968e325d6f60d,W,L,3 Rnd (5-5-5),Marc Goddard,Elbows to Head On Ground,27 of 38,2 of 3,0.71,0.66,0,0,0,0,191,8,0.71,1.0,0.67,1.0,0,0.0,0.67,0.67,0,0,0.71,0,0.74,0.92
Gauge Young,Maheshate,0,0,112,66,3,0,0,0,Lightweight,U-DEC,3,5:00,754968e325d6f60d,L,W,3 Rnd (5-5-5),Herb Dean,David Lethaby27 - 30.Ben Cartlidge28 - 29.Evan Field28 - 29.,66 of 150,112 of 200,0.44,0.56,0,0,0,0,12,231,0.36,0.46,0.67,0.72,0.86,0.83,0.42,0.54,0.86,0.8,0,1.0,0.48,0.59
Charles Johnson,Lone'er Kavanagh,1,0,44,59,1,1,0,1,Flyweight,KO/TKO Punch,2,4:35,754968e325d6f60d,W,L,3 Rnd (5-5-5),Jim Perdios,Punch to Head At Distance,44 of 81,59 of 120,0.54,0.49,0,1,0,1,32,59,0.37,0.39,0.6,0.81,0.91,0.55,0.52,0.48,0.67,0.67,0.75,0,0.58,0.5
Rongzhu,Austin Hubbard,0,0,101,75,0,2,0,0,Lightweight,U-DEC,3,5:00,754968e325d6f60d,W,L,3 Rnd (5-5-5),Vitor Ribeiro,Clemens Werner27 - 30.David Lethaby28 - 29.Evan Field28 - 29.,101 of 197,75 of 226,0.51,0.33,0,0,0,0,0,62,0.42,0.25,0.75,0.56,1.0,0.67,0.52,0.33,0.38,0.4,0,0.0,0.52,0.34
Kyle Daukaus,Michel Pereira,1,0,5,2,0,0,0,0,Middleweight,KO/TKO Elbows,1,0:43,754968e325d6f60d,L,W,3 Rnd (5-5-5),Marc Goddard,Elbows to Head From Guard,2 of 4,5 of 8,0.5,0.62,0,0,0,0,0,7,0.0,0.62,0.67,0,0,0,0.5,1.0,0,0,0,0.57,0.5,0.58
Yizha,Westin Wilson,2,0,13,0,0,0,0,0,Featherweight,KO/TKO Punches,1,0:37,754968e325d6f60d,W,L,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,13 of 18,0 of 2,0.72,0.0,0,0,0,0,6,0,0.67,0.0,0,0,1.0,0.0,0.75,0.0,0.67,0,0.67,0,0.74,0.0
